"","topic","term","beta"
"100",3,"thousands",0.00165965954247888
"101",3,"worst",0.000166090925570621
"102",3,"law",0.000194796323013642
"103",3,"jim",1.41525275358364e-139
"104",3,"10",0.000612619432612056
"105",3,"play",0.000358459544801007
"106",3,"easy",0.000332975306515096
"107",3,"true",0.000628645627614718
"108",3,"thom",7.37820511542382e-142
"109",3,"humidity",0.000850479238588781
"110",3,"hospitals",0.00207175198705406
"111",3,"masks",0.00187377007911366
"112",3,"mitigation",0.00106309904823597
"113",3,"ready",0.00165467415095076
"114",3,"task",0.0016515035494859
"115",3,"workers",0.00237198069296145
"116",3,"you’ve",0.00255143771568498
"117",3,"maine",4.08010631318277e-145
"118",3,"obama",6.143950076226e-05
"119",3,"half",0.00185819847268669
"120",3,"bob",1.99237316624406e-141
"121",3,"doug",0.000372084666882592
"122",3,"history",0.000945270839425469
"123",3,"terrible",0.000246878522488587
"124",3,"military",0.000834703953391477
"125",3,"democrat",0.000833718455243368
"126",3,"tim",0.000159464857235396
"127",3,"industry",0.00133837915529427
"128",3,"can’t",0.0031892889435446
"129",3,"couple",0.00148786211975809
"130",3,"force",0.00173050994937236
"131",3,"government",0.00210484704694285
"132",3,"program",0.00169036030055999
"133",3,"public",0.00167472582593044
"134",3,"quickly",0.00252423152267602
"135",3,"talked",0.00170574324636486
"136",3,"they’ve",0.0033476449362729
"137",3,"pay",0.000130605313518464
"138",3,"rush",4.20031026368853e-148
"139",3,"war",0.000495314299518472
"140",3,"heroes",0.000121449284818721
"141",3,"vaccine",0.000735074778132959
"142",3,"water",0.000106309904823598
"143",3,"build",0.000530148699719332
"144",3,"woman",3.25484221304016e-25
"145",3,"closed",0.00106179829734827
"146",3,"speech",5.44150647612352e-05
"147",3,"crazy",0.000282208615296345
"148",3,"bill",0.00183334427453595
"149",3,"doctors",0.00148918578499914
"150",3,"system",0.00140713120886614
"151",3,"travel",0.00175411342958936
"152",3,"tremendous",0.0024499331269178
"153",3,"admiral",0.000744169333765183
"154",3,"advice",0.00122256390547137
"155",3,"bit",0.00143545934959304
"156",3,"close",0.00160083841691629
"157",3,"covid",0.00148811775373759
"158",3,"earlier",0.00116321811079117
"159",3,"guidelines",0.00212619809647195
"160",3,"issued",0.0013785958971283
"161",3,"questions",0.00127571871809178
"162",3,"supplies",0.00120936518844935
"163",3,"what’s",0.0029766773309815
"164",3,"you’ll",0.00196673323923171
"165",3,"idea",0.000754380682157509
"166",3,"women",0.00026934001057327
"167",3,"dollars",0.000825775293206397
"168",3,"suburbs",5.77096502041215e-144
"169",3,"hard",0.00113898836048574
"170",3,"happened",0.00153852657572432
"171",3,"donald",5.46021979786766e-05
"172",3,"nominated",5.31549524117988e-05
"173",3,"spent",0.00013613374667266
"174",3,"energy",0.000462989840569026
"175",3,"pulitzer",2.04832217618944e-144
"176",3,"sleepy",0.000126452319552513
"177",3,"crooked",1.35910781198028e-140
"178",3,"report",0.0015697621854501
"179",3,"cruise",0.000691014381353384
"180",3,"hospital",0.00138202876270677
"181",3,"tested",0.00127984939191608
"182",3,"additional",0.00172731588355328
"183",3,"beds",0.000797324286176982
"184",3,"cdc",0.00191357828682472
"185",3,"decision",0.00117029099704108
"186",3,"died",0.000766703668133249
"187",3,"metro",0.000903634191000579
"188",3,"person",0.00151772582168703
"189",3,"run",0.00129373370959132
"190",3,"supposed",0.000808159925066677
"191",3,"50",0.000836982885055043
"192",3,"children",5.80158305862285e-05
"193",3,"relief",0.00132658245418685
"194",3,"fill",0.000531549524117988
"195",3,"auto",5.57453273397031e-05
"196",3,"colby",2.15140448236945e-142
"197",3,"doesn’t",0.00212619809379767
"198",3,"movie",2.4891300122828e-143
"199",3,"nice",0.000500119783193625
"200",3,"set",0.000576273698451628
"201",3,"tough",0.000439884726701887
"202",3,"washington",0.001215322232299
"203",3,"hispanic",0.000135464430236655
"204",3,"millions",0.00127994928802939
"205",3,"anymore",0.000318929714470793
"206",3,"peace",8.72444087682222e-25
"207",3,"built",0.000750505628138009
"208",3,"illegal",0.000207073299527241
"209",3,"air",0.000654991099370796
"210",3,"stuff",0.00013261383289592
"211",3,"lindsey",5.31549524117988e-05
"212",3,"super",5.88826420383156e-05
"213",3,"heat",0.000637859428941585
"214",3,"administration",0.00218736273506055
"215",3,"emergency",0.00138202876270677
"216",3,"hours",0.00163130159789702
"217",3,"taking",0.00138792242285512
"218",3,"february",0.000691014381353384
"219",3,"hear",0.00106092536729014
"220",3,"hit",0.00119475929989642
"221",3,"power",0.00119260868227047
"222",3,"team",0.00138202876270677
"223",3,"told",0.00126059632789221
"224",3,"sonny",0.000637859428941585
"225",3,"tomorrow",0.00117046935855082
"226",3,"choice",0.00029499664088335
"227",3,"trade",0.000737030838735931
"228",3,"id",0.000850479238571937
"229",3,"free",0.000162552416735524
"230",3,"james",9.53582126844208e-45
"231",3,"dana",4.30320931560445e-140
"232",3,"fight",0.000390807091165804
"233",3,"billions",0.00069079102222875
"234",3,"cities",0.000409697441118839
"235",3,"germany",0.000327998143774657
"236",3,"phrase",1.16821094773983e-143
"237",3,"signed",0.000359129811224747
"238",3,"times",0.00178984400479219
"239",3,"nation",0.00172237768638755
"240",3,"horrible",0.000579767036697921
"241",3,"polls",1.79844925508991e-21
"242",3,"watch",0.000623073196344786
"243",3,"god",0.000220867969696405
"244",3,"lost",0.000557730288206673
"245",3,"house",0.00196190666092749
"246",3,"republican",0.000254337004677044
"247",3,"jail",8.75902105675097e-14
"248",3,"price",0.000272729173174458
"249",3,"mini",7.97389810175142e-140
"250",3,"debates",5.31549524117987e-05
"251",3,"record",0.000347649527240801
"252",3,"life",0.000962951387063993
"253",3,"study",0.000687689262080417
"254",3,"companies",0.00208765614038824
"255",3,"labs",0.00132887381029497
"256",3,"results",0.00119550032421408
"257",3,"act",0.00111625398959585
"258",3,"cartridges",0.000584704476529787
"259",3,"google",0.000797324286176982
"260",3,"i’d",0.00154149361994212
"261",3,"increase",0.0012674263325112
"262",3,"jon",0.000744169333765183
"263",3,"single",0.00101821324537901
"264",3,"video",0.000637859428941585
"265",3,"wouldn’t",0.00127571879840045
"266",3,"critical",0.00164036888098461
"267",3,"judges",0.000611027202186533
